WKEMJKQOLOHJLZ-UHFFFAOYSA-N|P21397,P05181,P05177,P31513,P28221,P28222,P10632,P33261,P08684,P10635
IWUCXVSUMQZMFG-AFCXAGJDSA-N|Q9HAS3,P20839,P22413,P49902,P55263,Q99808,P16502,P26676
ZRVUJXDFFKFLMG-UHFFFAOYSA-N|P52209,P11712,P10632,O15439,P35354,P08684,P23219
GECBBEABIDMGGL-RTBURBONSA-N|P05181,P11712,P34972,P21554,P10632
ZBMZVLHSJCTVON-UHFFFAOYSA-N|P07550,P08588,Q12809
UUVWYPNAQBNQJQ-UHFFFAOYSA-N|
KVWDHTXUZHCGIO-UHFFFAOYSA-N|P11712,P18825,P28221,P28222,P28223,P33261,P35462,P46098,P47898,P28566,P11229,Q9H3N8,P34969,P08183,P21728,P08912,P08913,P14416,P10635,P08172,P08173,P05177,P31513,P22309,P28335,P41595,P21918,P14867,P08684,P18089,P35368,P35367,P35348,P21917,P25021,P50406,P20309,P08908,P08588
BSYNRYMUTXBXSQ-UHFFFAOYSA-N|P11712,Q04828,Q9Y694,P33261,P25963,P08183,Q4U2R8,P10632,P25101,P51812,P35354,Q00653,P04637,P11021,Q13131,P23219,O14920
MQJKPEGWNLWLTK-UHFFFAOYSA-N|P20815,P05181,P11712,P24462,P05164,P31513,P0C0X2,P0C0X1,P33260,P33261,P35354,P08684,P10632,P11245,P23219
BLSQLHNBWJLIBQ-OZXSUGGESA-N|P10613
